FID,STOPID,NAME,TOWN,0730_0930,1200_1400,1500_1830,2000_2100,x,y,z,PhotoF,PhotoS
0,10001,Bodmin Road Helston Walk,Middleton,6,6,4,2,428983,428480,120,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10001&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10001&view=side
1,10002,Bodmin Road Padstow Gardens,Middleton,6,6,4,2,429117,428112,120,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10002&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10002&view=side
2,10003,Bodmin Road Padstow Place,Middleton,6,6,4,2,429287,427872,120,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10003&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10003&view=side
3,10004,Bodmin Crescent Sissons Ter,Middleton,6,6,5,2,429447,427727,130,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10004&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10004&view=side
4,10005,Ring Road Beeston Helston Croft,Middleton,9,10,6,5,429160,428503,130,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10005&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10005&view=side
5,10006,Ring Road Beeston Park Bodmin Road,Middleton,8,10,6,5,429108,428626,130,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10006&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10006&view=side
6,10009,St Georges Road Middleton Shopping Centre,Middleton,11,13,10,3,431001,428166,120,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10009&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10009&view=side
7,10010,Ring Road Shopping Centre,Middleton,12,13,11,5,430831,428181,120,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10010&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10010&view=side
8,10011,Middleton Park Road Lingwell Road,Middleton,12,13,12,5,430277,428090,130,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10011&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10011&view=side
9,10012,Middlleton Park Circus,Middleton,9,9,8,4,429938,428029,140,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10012&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10012&view=side
